sex,age,Province,livingPlace,zipCode,kmYear_beforeCovid,kmYear_afterCovid,BeforeAfterCovid,studyYear,Profession,environment_Know,revenu,had_Inondation,had_Fire,had_Pollution,H2_Know,know_Evaluation,h2_VS_envi,carH2_idea,conventional_car,hybrides_car,electric_car,gaz_car,subject_know,law_elaboration,h2_purchasePrice,h2_price,otherfuel_price,h2_security,h2_station,h2_automony,dimImportation,gazReduction,atmos_reduction_urban,Belgium_company,everything_equal,subside,diesel_no_in_town,essence_no_in_town,km_limitation
Femme,57,Brabant Wallon,En périphérie,1341,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,1,3,Non,Une solution égale,Une moins bonne solution,Une solution égale,Une solution égale,Fort important,Pas du tout important,Fort important,Fort important,Moyennement important,Très important,Très important,Très important,Fort important,Très important,Très important,Très important,Moyennement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Homme,59,Liège,A la campagne,4350,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Secondaire,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,1,3,Non,Une solution égale,Une meilleure solution,Une meilleure solution,Une moins bonne solution,Peu important,Moyennement important,Fort important,Fort important,Très important,Moyennement important,Très important,Fort important,Très important,Très important,Très important,Fort important,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Femme,31,Liège,A la campagne,4631,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Bachelier,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,1,3,Non,Une meilleure solution,Une solution égale,Une solution égale,Une meilleure solution,Moyennement important,Peu important,Moyennement important,Moyennement important,Peu important,Moyennement important,Moyennement important,Moyennement important,Peu important,Moyennement important,Moyennement important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,5 000 km
Homme,42,Liège,A la campagne,4850,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Secondaire,Indépendant,Non,Il est difficile de vivre avec mon revenu actuel,Non,Non,Non,Non,1,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Homme,71,Liège,En périphérie,4670,Entre 10 000 et 15 000,Entre 10 000 et 15 000,Ont diminué,Bachelier,Retraité,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,5,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une solution égale,Fort important,Moyennement important,Fort important,Fort important,Très important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,5 000 km
Homme,29,Hainaut,En centre ville,7000,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une solution égale,Une solution égale,Une meilleure solution,Une solution égale,Fort important,Moyennement important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Moyennement important,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Homme,65,Liège,En périphérie,4683,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Secondaire,Retraité,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une meilleure solution,Une solution égale,Une moins bonne solution,Une solution égale,Fort important,Moyennement important,Fort important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,10 000 km
Homme,45,Liège,A la campagne,4670,Plus de 20 000,Entre 15 000 et 20 000,Ont diminué,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,3,Non,Une meilleure solution,Une solution égale,Une meilleure solution,Une moins bonne solution,Peu important,Peu important,Fort important,Fort important,Fort important,Moyennement important,Très important,Fort important,Fort important,Fort important,Très important,Fort important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Homme,75,Liège,A la campagne,4610,Moins de 10 000,Moins de 10 000,sont restés stables,Secondaire,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,1,3,Non,Une solution égale,Une solution égale,Une moins bonne solution,Une solution égale,Fort important,Peu important,Fort important,Fort important,Fort important,Très important,Très important,Moyennement important,Fort important,Fort important,Très important,Fort important,Moyennement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Fortement intéressé.e,10 000 km
Homme,70,Liège,En périphérie,4120,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Secondaire,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,1,2,Non,Une moins bonne solution,Une solution égale,Une meilleure solution,Une solution égale,Peu important,Pas du tout important,Moyennement important,Moyennement important,Fort important,Fort important,Très important,Très important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement intéressé.e,Moyennement intéressé.e,Peu intéressé.e,Peu intéressé.e,20 000 km
Homme,67,Liège,En périphérie,4821,Plus de 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Retraité,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,3,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Fort important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Un peu intéressé.e,Peu intéressé.e,Peu intéressé.e,20 000 km
Homme,72,Liège,En périphérie,4420,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Secondaire,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,3,Non,Une meilleure solution,Une solution égale,Une solution égale,Une moins bonne solution,Très important,Peu important,Moyennement important,Moyennement important,Moyennement important,Très important,Très important,Très important,Fort important,Fort important,Fort important,Très important,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,10 000 km
Homme,52,Liège,En centre ville,4000,Plus de 20 000,Entre 15 000 et 20 000,Ont diminué,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Non,1,3,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Homme,69,Liège,En périphérie,4432,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Doctorat,Indépendant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,3,Non,Une moins bonne solution,Une moins bonne solution,Une meilleure solution,Une meilleure solution,Moyennement important,Moyennement important,Très important,Très important,Très important,Moyennement important,Très important,Très important,Fort important,Fort important,Fort important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,20 000 km
Femme,75,Liège,En périphérie,4800,Moins de 10 000,Moins de 10 000,Ont diminué,Secondaire,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,1,3,Non,Une meilleure solution,Une solution égale,Une solution égale,Une moins bonne solution,Très important,Pas du tout important,Fort important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Moyennement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,20 000 km
Homme,62,Liège,A la campagne,4900,Plus de 20 000,Plus de 20 000,Ont diminué,Master,Indépendant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,1,3,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Très important,Moyennement important,Moyennement important,Fort important,Moyennement important,Fort important,Très important,Très important,Moyennement important,Fort important,Fort important,Très important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Femme,57,Liège,En périphérie,4845,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Non,2,3,Non,Une solution égale,Une solution égale,Une moins bonne solution,Une solution égale,Fort important,Fort important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Fort important,Fort important,Fort important,Très important,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,60,Liège,A la campagne,4840,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,3,5,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une solution égale,Très important,Très important,Très important,Très important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Femme,23,Hainaut,A la campagne,7823,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Etudiant,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,1,3,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une moins bonne solution,Très important,Fort important,Fort important,Fort important,Fort important,Très important,Très important,Fort important,Fort important,Très important,Très important,Fort important,Moyennement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Femme,21,Hainaut,A la campagne,7904,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,1,3,Non,Une moins bonne solution,Une meilleure solution,Une moins bonne solution,Une solution égale,Très important,Peu important,Fort important,Fort important,Fort important,Très important,Très important,Fort important,Moyennement important,Fort important,Fort important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,70,Liège,A la campagne,4837,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Oui,Oui,2,3,Non,Une solution égale,Une moins bonne solution,Une moins bonne solution,Une meilleure solution,Fort important,Peu important,Fort important,Fort important,Fort important,Très important,Très important,Fort important,Fort important,Très important,Très important,Très important,Un peu intéressé.e,Un peu intéressé.e,Peu intéressé.e,Fortement intéressé.e,5 000 km
Homme,22,Luxembourg,A la campagne,6740,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,2,3,Non,Une moins bonne solution,Une moins bonne solution,Une meilleure solution,Une solution égale,Très important,Moyennement important,Fort important,Fort important,Fort important,Moyennement important,Fort important,Fort important,Peu important,Moyennement important,Moyennement important,Peu important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,2 500 km
Homme,66,Liège,A la campagne,4550,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Très important,Fort important,Moyennement important,Très important,Très important,Très important,Très important,Fort important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,74,Liège,En centre ville,4000,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Secondaire,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,5,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une meilleure solution,Une moins bonne solution,Une moins bonne solution,Une solution égale,Fort important,Fort important,Très important,Fort important,Fort important,Très important,Très important,Très important,Fort important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Peu intéressé.e,Peu intéressé.e,10 000 km
Femme,50,Namur,A la campagne,5640,Entre 15 000 et 20 000,Entre 10 000 et 15 000,sont restés stables,Master,Employé,Oui,Il est difficile de vivre avec mon revenu actuel,Oui,Non,Non,Oui,2,3,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une solution égale,Fort important,Peu important,Fort important,Fort important,Moyennement important,Fort important,Fort important,Fort important,Très important,Très important,Fort important,Fort important,Un peu intéressé.e,Moyennement intéressé.e,Peu intéressé.e,Peu intéressé.e,20 000 km
Homme,26,Namur,A la campagne,5620,Plus de 20 000,Plus de 20 000,sont restés stables,Secondaire,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,3,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une solution égale,Très important,Moyennement important,Très important,Très important,Peu important,Très important,Très important,Très important,Moyennement important,Très important,Très important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,20,Namur,A la campagne,5340,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Oui,Non,Oui,Oui,3,1,Non,Une meilleure solution,Une solution égale,Une meilleure solution,Une moins bonne solution,Moyennement important,Peu important,Moyennement important,Fort important,Très important,Moyennement important,Peu important,Moyennement important,Fort important,Très important,Très important,Moyennement important,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Femme,20,Namur,A la campagne,5360,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,1,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une solution égale,Très important,Moyennement important,Fort important,Fort important,Fort important,Très important,Fort important,Très important,Moyennement important,Très important,Très important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Femme,28,Brabant Wallon,En centre ville,1400,Plus de 20 000,Plus de 20 000,sont restés stables,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,4,Non,Une moins bonne solution,Une moins bonne solution,Une meilleure solution,Une meilleure solution,Peu important,Peu important,Peu important,Fort important,Fort important,Très important,Très important,Fort important,Fort important,Fort important,Fort important,Fort important,Moyennement intéressé.e,Moyennement intéressé.e,Peu intéressé.e,Peu intéressé.e,10 000 km
Homme,24,Liège,A la campagne,4452,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Master,Chômeur,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,5,4,Non,Une meilleure solution,Une meilleure solution,Une meilleure solution,Une moins bonne solution,Moyennement important,Peu important,Moyennement important,Moyennement important,Fort important,Très important,Très important,Fort important,Fort important,Fort important,Moyennement important,Fort important,Pas du tout intéressé.e,Peu intéressé.e,Moyennement intéressé.e,Peu intéressé.e,20 000 km
Homme,29,Liège,En centre ville,4000,Moins de 10 000,Moins de 10 000,sont restés stables,Formation Technifutur,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,2,4,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une moins bonne solution,Très important,Moyennement important,Très important,Très important,Pas du tout important,Moyennement important,Très important,Très important,Très important,Très important,Moyennement important,Très important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Homme,20,Namur,En périphérie,1348,Moins de 10 000,Moins de 10 000,sont restés stables,Secondaire,Etudiant,Non,Il est difficile de vivre avec mon revenu actuel,Non,Non,Oui,Oui,4,2,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Fort important,Peu important,Moyennement important,Moyennement important,Moyennement important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Très important,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Homme,45,Hainaut,A la campagne,7133,Plus de 20 000,Plus de 20 000,Ont diminué,Master,Employé,Oui,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,4,Non,Une moins bonne solution,Une solution égale,Une meilleure solution,Une meilleure solution,Peu important,Peu important,Moyennement important,Moyennement important,Fort important,Moyennement important,Très important,Fort important,Fort important,Très important,Très important,Fort important,Un peu intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Homme,24,Brabant Wallon,En centre ville,1348,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Master,Etudiant,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,5,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Peu important,Pas du tout important,Fort important,Fort important,Fort important,Peu important,Fort important,Fort important,Peu important,Très important,Fort important,Moyennement important,Un peu intéressé.e,Moyennement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,5 000 km
Homme,51,Région de Bruxelles-Capitale,En périphérie,1933,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Oui,Non,Oui,5,5,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une solution égale,Une meilleure solution,Une moins bonne solution,Une moins bonne solution,Peu important,Fort important,Très important,Très important,Moyennement important,Très important,Très important,Très important,Peu important,Fort important,Fort important,Très important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,2 500 km
Homme,28,Région de Bruxelles-Capitale,En centre ville,1150,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,3,Non,Une solution égale,Une solution égale,Une meilleure solution,Une moins bonne solution,Fort important,Peu important,Très important,Très important,Très important,Moyennement important,Fort important,Fort important,Fort important,Fort important,Moyennement important,Moyennement important,Peu intéressé.e,Peu intéressé.e,Peu intéressé.e,Peu intéressé.e,5 000 km
Homme,38,Hainaut,A la campagne,6230,Plus de 20 000,Plus de 20 000,sont restés stables,Master,Chômeur,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,5,1,Non,Une meilleure solution,Une meilleure solution,Une meilleure solution,Une meilleure solution,Pas du tout important,Pas du tout important,Très important,Très important,Pas du tout important,Pas du tout important,Très important,Pas du tout important,Pas du tout important,Très important,Pas du tout important,Pas du tout important,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,10 000 km
Homme,26,Brabant Wallon,A la campagne,1435,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Employé,Oui,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,3,Non,Une solution égale,Une moins bonne solution,Une meilleure solution,Une meilleure solution,Très important,Moyennement important,Peu important,Moyennement important,Fort important,Très important,Fort important,Fort important,Très important,Très important,Fort important,Fort important,Moyennement intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Homme,49,Région de Bruxelles-Capitale,En périphérie,9450,Plus de 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Moyennement important,Peu important,Fort important,Fort important,Moyennement important,Fort important,Très important,Fort important,Moyennement important,Très important,Fort important,Moyennement important,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,5 000 km
Homme,46,Brabant Wallon,A la campagne,1330,Plus de 20 000,Entre 15 000 et 20 000,Ont diminué,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,2,Non,Une meilleure solution,Une meilleure solution,Une meilleure solution,Une solution égale,Très important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Fort important,Très important,Fort important,Fort important,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,1 000 km
Homme,70,Région de Bruxelles-Capitale,En centre ville,1200,Plus de 20 000,Plus de 20 000,sont restés stables,Doctorat,Retraité,Oui,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,5,3,Non,Une meilleure solution,Une meilleure solution,Une meilleure solution,Une meilleure solution,Pas du tout important,Pas du tout important,Très important,Très important,Très important,Très important,Très important,Moyennement important,Fort important,Fort important,Très important,Très important,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Homme,27,Hainaut,En centre ville,7000,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Employé,Oui,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,3,Non,Une moins bonne solution,Une moins bonne solution,Une meilleure solution,Une moins bonne solution,Fort important,Moyennement important,Fort important,Moyennement important,Moyennement important,Fort important,Très important,Moyennement important,Fort important,Très important,Fort important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Homme,38,Luxembourg,A la campagne,6730,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Master,Employé,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,5,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Fort important,Fort important,Très important,Peu important,Pas du tout important,Très important,Très important,Fort important,Très important,Très important,Très important,Moyennement important,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,1 000 km
Femme,49,Liège,En périphérie,4053,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,1,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Moyennement important,Très important,Très important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,52,Namur,En centre ville,5000,Plus de 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Indépendant,Non,Je me débrouille avec mon revenu actuel,Oui,Non,Non,Oui,3,4,Non,Une solution égale,Une moins bonne solution,Une meilleure solution,Une solution égale,Très important,Peu important,Peu important,Moyennement important,Moyennement important,Fort important,Fort important,Fort important,Très important,Très important,Fort important,Très important,Un peu intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Femme,38,Région de Bruxelles-Capitale,En périphérie,1120,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Doctorat,Employé,Oui,Je vis très confortablement avec mon revenu actuel,Non,Non,Oui,Oui,4,3,Non,Une solution égale,Une meilleure solution,Une meilleure solution,Une solution égale,Peu important,Peu important,Peu important,Peu important,Peu important,Fort important,Peu important,Peu important,Peu important,Moyennement important,Moyennement important,Peu important,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Homme,72,Région de Bruxelles-Capitale,A la campagne,1780,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Master,Retraité,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,3,Non,Une solution égale,Une meilleure solution,Une meilleure solution,Une meilleure solution,Peu important,Pas du tout important,Fort important,Fort important,Fort important,Fort important,Très important,Très important,Fort important,Très important,Très important,Très important,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,5 000 km
Homme,40,Namur,A la campagne,5580,Plus de 20 000,Plus de 20 000,Ont diminué,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Oui,Non,Non,Oui,3,3,Non,Une meilleure solution,Une meilleure solution,Une meilleure solution,Une solution égale,Moyennement important,Moyennement important,Peu important,Peu important,Fort important,Moyennement important,Moyennement important,Moyennement important,Fort important,Moyennement important,Moyennement important,Peu important,Moyennement intéressé.e,Peu intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Femme,23,Région de Bruxelles-Capitale,En périphérie,1160,Moins de 10 000,Entre 15 000 et 20 000,sont restés stables,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une solution égale,Une moins bonne solution,Une moins bonne solution,Une solution égale,Fort important,Peu important,Fort important,Fort important,Fort important,Moyennement important,Très important,Très important,Fort important,Fort important,Moyennement important,Moyennement important,Fortement intéressé.e,Un peu intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Homme,38,Région de Bruxelles-Capitale,En périphérie,1180,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Indépendant,Oui,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,3,Non,Une moins bonne solution,Une solution égale,Une meilleure solution,Une solution égale,Moyennement important,Moyennement important,Peu important,Moyennement important,Moyennement important,Peu important,Fort important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Pas du tout important,Moyennement intéressé.e,Un peu intéressé.e,Peu intéressé.e,Peu intéressé.e,5 000 km
Homme,42,Brabant Wallon,A la campagne,1400,Plus de 20 000,Entre 15 000 et 20 000,Ont diminué,Secondaire,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,1,3,Non,Une moins bonne solution,Une solution égale,Une meilleure solution,Une moins bonne solution,Très important,Pas du tout important,Fort important,Très important,Peu important,Moyennement important,Très important,Fort important,Moyennement important,Très important,Très important,Moyennement important,Moyennement intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Homme,42,Brabant Wallon,En périphérie,1400,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Employé,Oui,Je vis très confortablement avec mon revenu actuel,Oui,Non,Non,Oui,4,1,Non,Une solution égale,Une moins bonne solution,Une moins bonne solution,Une solution égale,Fort important,Pas du tout important,Très important,Très important,Fort important,Très important,Très important,Très important,Fort important,Peu important,Fort important,Fort important,Peu intéressé.e,Pas du tout intéressé.e,Peu intéressé.e,Moyennement intéressé.e,5 000 km
Homme,40,Brabant Wallon,A la campagne,1450,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,5,3,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,5 000 km
